	Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC	ket/xyl_E1004_01	ket/xyl_E1004_03	ket/xyl_E1004_04	propofol_E1004_05	propofol_E1004_06	propofol_E1004_08	input_E1004_13	input_E1004_14	input_E1004_15
1905	VK055_1906	phyK	60.995806672937604	-2.5728215496733395	-3.0416589682812702	0.0375273383550305	-0.7744964599423628	-2.311794122	-2.744117715	0.073823981	-0.6959193745216772	33.98919620000001	13.63582632	7.729963658	7.167148657	24.85517083	40.17842696	52.88279635	223.8699073	220.1887456
1907	VK055_1908	mtnK	82.4532186961543	-2.12873340804689	-3.50140294807632	0.0116066321843911	-0.6408126085941273	-1.054199687	-1.763375303	0.33701532799999995	-0.31734572720658033	18.22609071	28.25264734	31.76930119	33.98615654	20.59008235	45.463157	96.66975173	225.5271355	201.4415776
1926	VK055_1927	entS	32.5374999332025	-3.00799396026148	-3.07295595882174	0.034601838184362	-0.905496408814795	-2.484390349	-2.572271198	0.103922165	-0.7478760159871066	9.523542896	4.022078267	6.7955724470000005	13.75630146	7.206528821	11.94493775	17.13402602	132.5061988	130.3615815
1930	VK055_1931	entF	33.0296040578328	-3.26845451882704	-3.1416446156280498	0.0293862004809802	-0.9839028496304236	-2.088283769	-2.061322239	0.231265399	-0.6286360539272323	0.0	10.98714063	1.613948456	0.0	16.98681794	2.171806863	25.87731501	127.9668347	118.34602209999998
1932	VK055_1933	fes	40.1780453284746	-2.64956385507059	-3.03852624865	0.0377749973016741	-0.797598195803341	-2.200595489	-2.548681087	0.107765824	-0.6624452505118466	5.911164556	0.0	1.104280523	4.392768532	5.00044857	19.25668752	24.39659672	68.73894159999999	76.0744154
1977	VK055_1978	bepE	159.688927313963	-3.21590475408691	-4.23709749660816	0.0010358451216246696	-0.9680837941785588	-0.493746819	-0.66390832	0.7856917609999999	-0.14863260278267454	6.403761602	29.037443100000004	40.51860071	261.1385293	118.90772549999998	100.6270513	130.796783	441.3991156	404.0412814
1978	VK055_1979	-	69.3653779930568	-2.96532861212146	-3.43468342073363	0.0140323007353657	-0.8926528592492023	-1.490697353	-1.759314545	0.33833411	-0.4487446177098983	12.06862764	22.46477861	8.834244181	71.90268492	10.95686525	26.56843729	58.17107599	225.3109753	238.067319
1992	VK055_1993	-	30.485567500440997	-3.07975035360597	-2.9619737899938303	0.0448070437561469	-0.9270972355921496	0.460437863	0.480212288	0.85319685	0.13860560790242274	0.0	9.908046462	0.0	39.76611513	38.01811633	50.38591922	40.40245641	45.82596107	48.78606658
1994	VK055_1995	-	101.921890179487	-2.33082543238298	-3.92626150281278	0.00323575197322005	-0.7016483698037456	-2.697883843	-4.513556287	0.000371173	-0.812143961560215	33.74289767	33.35381977	26.50273254	27.39700374	22.86969861	40.1060334	150.962756	348.3061255	336.9423441
1999	VK055_2000	-	41.8451929285466	-2.5696660004275	-3.07437558302481	0.0345731718396913	-0.7735465449665703	-2.363131207	-2.841091247	0.05975394	-0.7113733769966286	10.01613994	6.180266605	6.965461757999999	18.61146667	17.72217802	7.963291831	59.72230468	131.71361140000002	149.90496130000002
2151	VK055_2152	lon	124.235090858941	-2.25257167550567	-3.54243139441159	0.0101879540154875	-0.6780916417102787	-0.564648532	-0.902342118	0.685328158	-0.16997614513963336	22.82366315	27.0754537	29.81557411	43.69648698	146.9984807	187.2821451	306.5086877	218.1056355	190.7289102
2152	VK055_2153	clpX	84.5036317631688	-4.12191085388487	-4.81450138694029	8.80086525561863e-05	-1.2408188064722796	-2.46134433	-2.966887196	0.048665134000000006	-0.7409384729874647	3.776577355	4.022078267	22.34044442	44.50568118	41.91552478	8.759621014	315.1814663	197.5704171	224.6764847
2214	VK055_2215	phoR	37.3152561689611	-7.2457622527975785	-5.274906102368389	1.0842090879661e-05	-2.181191779541894	-8.143442715	-5.45963943	5.03e-06	-2.4514205251863297	0.0	0.0	0.0	0.0	0.0	1.158296994	146.8731531	124.2921114	136.22459540000003
2215	VK055_2216	phoB	9.464741086048642	-7.08836203307286	-3.48150994701376	0.0123550718913595	-2.133809592080652	-5.263287903999999	-2.695512162	0.08141132599999999	-1.5844075349194044	0.0	0.0	0.0	0.0	2.426688276	0.0	29.89640754	33.07250964	39.95535423
2226	VK055_2227	proC	16.739986837569	-3.73735233194394	-2.91514730050276	0.0491705207402653	-1.1250551562798543	-1.308457651	-1.106745081	0.602311797	-0.39388500100703294	0.0	3.335381977	4.247232779	0.0	13.1629455	3.474890981	33.42192729	53.17540766	38.58007936
2285	VK055_2286	-	32.1240218350139	-3.80425781550775	-3.20646123979897	0.0250859779152838	-1.1451957137069646	1.813166529	1.902636267	0.287715835	0.5458175123629458	4.515472925	0.0	0.0	32.4833673	77.2128088	103.2332196	30.74253228	20.6793252	24.82733062
2417	VK055_2418	-	28.877442593618497	-3.49989039478894	-2.97221806934195	0.0439538002520987	-1.053571990367724	-3.917679476	-3.282361384	0.022329241	-1.179339035673148	5.172268987	9.221350172000001	0.0	0.0	3.750336427	12.37929912	18.8262755	128.68736869999998	134.1978745
2459	VK055_2460	nadC	70.59859077112591	-4.29394256243752	-3.6217826185762094	0.00790915756722848	-1.292605510951951	-4.563291421000001	-3.827844895	0.004632536	-1.3736875966771127	3.776577355	0.0	20.89638527	0.0	22.13433852	0.941116307	236.9854381	202.1097811	240.1664227
2492	VK055_2493	leuA	108.98977870241998	-9.6717766143464	-6.509380284956441	1.9634130182140602e-08	-2.911494872279692	-6.640389148	-6.464678807	2.81e-08	-1.998956316429588	0.0	0.0	0.0	0.0	0.0	0.0	435.61322120000005	359.1861886000001	375.5948064
2493	VK055_2494	leuB	143.313166620978	-7.81685007981712	-7.36277587845011	1.2497648867297402e-10	-2.3531063456333388	-6.901118971	-7.1414175160000015	4.11e-10	-2.0774438139167484	4.761771448	0.7847957590000001	0.0	7.513946173	2.1325442430000003	0.0	560.9101933	469.9322612	526.7302767
2495	VK055_2496	leuD	36.6155964094518	-6.210628248669269	-4.90664112764181	6.220954238606949e-05	-1.8695853947675087	-9.072083188999999	-5.777698932000001	1.02e-06	-2.7309691630479462	0.0	0.0	4.247232779	0.0	0.0	0.0	138.1298641	130.1284366	130.2891986
2506	VK055_2507	thiP	81.30831647266929	-2.49483633301338	-3.30517551090028	0.019856852180249	-0.7510205705093604	-2.489743236	-3.298916665	0.021710974	-0.7494873955375064	12.23282665	59.25207983	16.22442922	15.02789235	45.81293322	29.53657334	137.91833290000002	248.36806260000003	278.3122048
2507	VK055_2509	thiQ	29.252034155037	-3.41365570471256	-3.04824404650964	0.037141528872788	-1.0276127619879467	-6.846979612999999	-4.568215486000001	0.000299473	-2.0611462432127574	12.15072714	7.749858124	0.0	0.0	0.0	1.303084118	34.12703125	127.2463007	134.6321719
2532	VK055_2533	carB	111.61017739130101	-6.20346584570786	-6.88828220340335	2.6120560969228598e-09	-1.8674292966350925	-5.19369295	-6.112100704	1.89e-07	-1.5634573662185498	0.0	5.003072966	6.7955724470000005	10.2883263	10.88332924	1.447871242	406.0693656	376.9113245	393.5457626
2533	VK055_2534	carA	46.5544060644927	-6.21891009543053	-5.668386427398889	1.57918552086818e-06	-1.8720784790621412	-6.2542743960000005	-5.686550753	1.69e-06	-1.8827241943092288	0.574696554	0.0	1.698893112	0.0	4.118016469	1.447871242	143.1361021	176.31466469999995	174.4427603
2544	VK055_2545	oadB	12.588920067067301	-6.48136733212977	-3.4939588188757904	0.0118636631511641	-1.9510859798876936	-4.102110362	-2.635058597	0.09201211	-1.2348582644860322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2569	VK055_2570	thrC	105.967411961446	-3.57624010269526	-5.520731654278048	3.21261950602038e-06	-1.0765555426077098	-2.725307007	-4.289312444	0.000901227	-0.8203991565002277	11.6581301	24.52486748	23.86944822	49.82324309	19.63411424	34.02497419	340.2831669	303.34480519999994	300.2442199
2570	VK055_2571	thrB	150.75445394834	-2.57372033618848	-4.51380528682653	0.000335541388505935	-0.7747670216431183	-2.273614889	-4.003814122	0.002542763	-0.6844262801772332	57.79805344	39.82838479	47.31417316	80.57262281	59.56416679	39.09252353	444.2859998	363.797606	398.5401819
2587	VK055_2588	serB	35.0288215638463	-9.01292561142533	-5.867078653956032	5.27559511101076e-07	-2.7131609577271525	-9.027382128	-5.876489307000001	5.979999999999999e-07	-2.7175128028489413	0.0	0.0	0.0	0.0	0.0	0.0	130.51474140000002	128.3991551	126.9595857
2640	VK055_2641	dgoK2	66.0316551859311	-2.7604216429469104	-3.29191912029044	0.0202950100000522	-0.8309697152070683	-4.660702664	-5.251916077	1.36e-05	-1.4030113027350255	16.17360302	0.0	36.10147862	0.0	10.58918521	6.660207712999999	119.51511979999998	252.6912665	245.59513930000003
2682	VK055_2683	-	47.0457676097518	-2.53958093689072	-3.2437690812576903	0.0228402190729183	-0.7644900384205428	-2.586985837	-3.301025873	0.021710974	-0.7787603352948907	13.7927173	9.025151232999999	17.41365439	0.0	12.94233747	10.20749226	28.90926201	181.5025093	166.9873229
2793	VK055_2794	pepA	55.4048555828268	-9.674365527406321	-6.6686042027376695	8.26988478793949e-09	-2.9122742127668935	-9.688822046	-6.678569176	8.209999999999999e-09	-2.9166260584964654	0.0	0.0	0.0	0.0	0.0	0.217180686	229.299805	206.793252	164.0196244
2886	VK055_2887	purA	14.7654976694628	-7.76663291385524	-4.204434447115069	0.00117161940742916	-2.3379894723815764	-7.781089422999999	-4.2122604180000005	0.001165378	-2.34234131526674	0.0	0.0	0.0	0.0	0.0	0.0	40.12041483	39.05294167	52.69474254
2894	VK055_2895	miaA	11.3475826785195	-6.36294951607776	-3.34225736343181	0.0183039779759662	-1.9154386652350197	-4.915904943	-2.8663910089999995	0.057772841	-1.4798348436758335	0.0	0.0	0.0	0.0	2.72083231	0.0	35.32570796	52.67103387	33.07897986
2895	VK055_2896	mutL	170.987396895092	-2.18118921748998	-3.52552270376874	0.0106635357834969	-0.6566033806833312	-1.4957643859999998	-2.430575081	0.129677889	-0.45026994663191744	55.33506821	69.65062364	43.49166366	66.00712715	153.2490415	68.41191618	142.57201899999995	517.9198242	541.7859175
2967	VK055_2968	phnH	45.135050169518614	-3.06164573962419	-3.13377653511108	0.0300593376566672	-0.9216472037237164	-1.114688277	-1.175666507	0.575689838	-0.33555460719200064	4.187074893999998	5.101172436000001	19.11254751	45.89287124	45.73939721	5.429517157	110.8423412	99.36163572	103.9418273
2971	VK055_2972	phnL	7.354985642611541	-6.02648768962662	-2.9266394549271	0.0477725060517067	-1.814153563077337	-0.581242979	-0.339044705	0.906188746	-0.17497157144808953	0.0	0.0	0.0	1.271590891	4.559232519	22.94875919	11.21115283	17.86924268	19.97767712
2982	VK055_2983	-	83.75253953950859	-2.5515004961714505	-3.3811401297224	0.0163889270966037	-0.7680781832991376	-1.659357214	-2.223087804	0.183801455	-0.499516294935416	6.0753635720000005	47.77444185	12.57180903	13.52510311	87.87553001	43.87049863	168.94290669999995	238.8570141	213.1676055
3014	VK055_3015	-	162.148182504309	-2.89697682905963	-5.18174858923572	1.63409179264035e-05	-0.8720769222904744	-1.864533183	-3.381265764	0.017351945	-0.5612804159938389	52.0510879	30.31273621	38.8197076	54.67840831	120.5255177	83.68695779	265.1190857	508.480829	503.1334552
3060	VK055_3061	-	58.2172763034607	-5.105926931240719	-4.322640650822221	0.000729342151381599	-1.537037161971999	-4.548453066	-3.925284363	0.003392265	-1.369220806735802	0.0	1.765790459	11.63741781	5.086363563	0.0	0.36196781	220.9795784	205.4962908	170.2445528
3085	VK055_3086	purH	85.7339101357283	-7.1240180552657915	-6.74479004316147	6.379733619139979e-09	-2.1445431242867845	-10.30846958	-7.1405360710000005	4.11e-10	-3.1031585529696817	0.0	0.0	4.841845368	0.0	0.0	0.0	358.33382810000006	275.38808680000005	297.3489043
3086	VK055_3088	purD	83.83159501519201	-9.29542612871216	-6.41294699528589	3.1273585960987e-08	-2.7982020872210787	-6.981462887	-6.660107667999999	8.65e-09	-2.1016297426018555	0.0	0.0	0.0	5.548760251	0.0	0.0	319.7646419	289.07823239999993	303.7909814
3091	VK055_3092	hupA	18.639503565563107	-5.19071434073601	-3.87871805753735	0.0037685332816488203	-1.5625607154847259	-7.106976474	-4.357363462	0.000701808	-2.1394130971522363	2.791383263	0.0	0.0	0.0	0.0	0.0	78.40755939	68.81099499999999	52.62235965
3136	VK055_3137	fre	94.76130864114029	-3.1959197546331	-3.7561425342778505	0.00548347954448535	-0.9620677098796341	-4.893155136	-5.516339594	3.93e-06	-1.4729864693732673	15.02420991	11.47763798	46.80450523	0.0	17.86925004	5.429517157	306.0856253	268.83122760000003	251.1686217
3139	VK055_3141	rfaH	29.013248405379	-8.74110803726742	-5.50959134732109	3.32732594048222e-06	-2.6313357145570024	-8.755564553	-5.518703406	3.93e-06	-2.6356875594252966	0.0	0.0	0.0	0.0	0.0	0.0	101.8170106	115.9339172	101.9874893
3141	VK055_3142	tatC	91.2530329499493	-3.6768603807300098	-3.2180799308703	0.0242001282825889	-1.1068452644682192	-4.186055883	-3.640121806	0.008039018	-1.2601283843086728	0.0	4.316376676	45.19055677	17.91787164	16.6926739	1.303084118	321.5979122	286.4122567	276.5750155
3142	VK055_3143	tatB	33.149681365694796	-6.98564712398388	-4.3581331521736	0.00063498612843099	-2.10288932344297	-4.843510572	-3.632099926	0.008130553	-1.458041966487607	2.052487693	0.0	0.0	0.0	0.0	0.0	131.5723973	117.9514124	99.45408826
3143	VK055_3144	-	9.01182122337314	-7.05419023324797	-3.2902216936879	0.0202950100000522	-2.123522855327535	-7.068646734	-3.296964507	0.021710974	-2.1278746956862347	0.0	0.0	0.0	0.0	0.0	0.0	39.06275891	33.72099022	26.85405149
3162	VK055_3163	uvrD	212.35219271955003	-2.46534442146292	-4.60208356407134	0.000226145679598275	-0.7421426205032031	-2.001668321	-3.753829061	0.00570837	-0.6025622059913585	68.06049190000002	82.79595261	51.81623991	116.2927669	43.45978095	100.1926899	551.6733315	536.2213872	492.1312562
3166	VK055_3167	dapF	69.9541021685356	-3.20288534639508	-4.70540103761162	0.000140635792330163	-0.96416456193754	-1.3194907340000002	-2.021143082	0.242032148	-0.3972062899346834	12.47912517	14.22442314	15.37498266	67.27871804	34.2677799	38.29619435	137.7068017	200.81282	171.69221059999995
3180	VK055_3181	-	197.764775847159	-3.50973408816681	-6.51899906475691	1.9634130182140602e-08	-1.0565352373425818	-2.1310512740000003	-4.042513353	0.002294115	-0.6415103557719417	19.29338431	25.21156377	41.28310261	97.21890356	55.37261431	99.3239672	598.9858067000001	508.7690426	475.1212775
3186	VK055_3187	rfbB	84.88582576796159	-2.37002431437369	-3.38565392266019	0.0162423044914399	-0.7134484090794421	-1.654605788	-2.386278533	0.138697714	-0.4980859731872382	16.17360302	14.51872155	52.07107387	23.23543355	76.40391269999998	48.21411236	212.4478205	212.05315	192.9003968
3187	VK055_3188	-	39.092606066587294	-4.29579704656425	-3.55831181641298	0.009834324991248979	-1.2931637663005793	-4.654307565	-3.8053177	0.004857974	-1.4010861861107848	0.0	0.0	13.16642162	0.0	8.897857014	0.0	139.18752	120.6173881	116.0297696
3201	VK055_3202	ilvC	206.28612424608104	-6.809363767926049	-2.93454589473671	0.0471387285606948	-2.049822745533249	-8.416147919	-3.534345528	0.01109742	-2.5335129715639946	0.0	0.0	14.86531473	0.0	3.750336427	0.0	922.6990308	654.0286927999998	653.4003309
3202	VK055_3204	-	115.514634757096	-2.1087220378266003	-3.2638387890539504	0.0217841602522274	-0.6347885859034831	-2.833917804	-4.34237907	0.0007424939999999999	-0.8530942642501991	29.30952426	72.10311039	49.52273421	49.3608464	14.19244962	29.53657334	357.9107657	278.2702227	288.8077235
3205	VK055_3206	ilvE	121.36303269995899	-10.805626346884	-7.92824710897982	4.62635677728092e-12	-3.252817652349092	-10.82008287	-7.9388540710000015	2.26e-12	-3.2571694994400175	0.0	0.0	0.0	0.0	0.0	0.0	517.2642587	395.2849409	415.333012
3207	VK055_3208	ilvB3	355.776420001144	-2.2741513168560896	-3.64433758703445	0.00764399104135988	-0.6845877610524258	-2.510437413	-4.0186530660000015	0.002443426	-0.7557169635500862	160.5045376	37.67019645	220.4313812	42.19369774	117.9517574	200.0958056	1122.172939	871.4858477	830.3041095
3210	VK055_3211	-	31.2282967070637	-3.2629588853377496	-3.742987847724201	0.00571124856342015	-0.9822484991049716	-4.777113719	-4.96892783	5.05e-05	-1.438054522116915	11.32973207	6.8669628939999985	6.285904512999999	0.0	0.0	2.895742484	129.5275959	80.98801925	90.11669569
3226	VK055_3227	argH	125.182897500104	-3.40342209245902	-3.4636248148901005	0.0131282121420043	-1.024532137735637	-2.396131118	-2.456379006	0.124704189	-0.7213073400618704	0.0	65.82474432	9.683690737000001	22.77303686	47.65133343	79.2709505	297.4128467	373.380708	404.6927274
3228	VK055_3229	argC	391.678766382861	-2.18304434803685	-3.56257054124905	0.00973773916582475	-0.6571618306238117	-1.697557997	-2.775115523	0.069943248	-0.5110158764762666	162.9675228	141.8518335	140.838239	369.4549534	92.58183455	131.8286766	934.4742667000003	938.4955078	944.0176267
3230	VK055_3231	ppc	118.340803552443	-3.5597420071791	-3.72943760726093	0.0058743485860514215	-1.0715891209860162	-6.00140064	-5.900476433	5.35e-07	-1.806601608637014	55.00667017	12.36053321	0.0	5.895557767000001	1.029504117	0.796329183	290.29129680000005	428.3574506	440.1603426
3242	VK055_3243	metB	123.008410392505	-9.859428280234589	-7.29972459786487	1.7149023024511301e-10	-2.967983652448352	-9.021757447	-7.357277872999999	1.19e-10	-2.7158196051519004	0.0	0.0	0.0	0.0	0.0	2.823348922	358.33382810000006	514.5333145	480.8395257
3253	VK055_3254	pfkA	61.547708697286	-9.7669010519859	-6.23617071633424	8.11625246658599e-08	-2.9401301813298493	-4.609648842	-4.260640963	0.001002221	-1.3876425709197358	0.0	0.0	0.0	15.25909069	0.0	3.11292317	258.1385566	197.0660433	193.7689915
