Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC
VK055_0072	ruvB	11.176789917019999	-7.36484521336547	-3.6763029660828104	0.00684115242057028	-2.2170393226453	-7.379301718	-3.683519206	0.007020062	-2.221391164172749
VK055_0102	-	8.08332531657379	-6.89735995100753	-3.10750693644119	0.0321903220444445	-2.0763122361447146	-6.911816449	-3.114020105	0.034159678	-2.0806640756727037
VK055_0122	pabB	25.240609318597304	-4.59316475042985	-3.95766666993851	0.00291739474712949	-1.382680364905849	-5.924036962000001	-4.500578173	0.00038945099999999997	-1.7833128209841245
VK055_0137	dsbB	30.6654412147432	-8.8073638744465	-5.5911224095562195	2.2907309126529598e-06	-2.6512807089357344	-6.885009535	-4.777790658	0.000120654	-2.0725943904675193
VK055_0140	fadR	13.339124781695599	-5.084961396734251	-3.10381437288109	0.0324617404715664	-1.5307259072104231	-6.618528049	-3.591585619	0.009214426999999999	-1.9923754698924079
VK055_0297	ppsA	48.0868230505816	-6.98694063157992	-5.2394574993130805	1.2698795557078801e-05	-2.103278708028997	-5.434867543999999	-4.733197121	0.000141735	-1.6360581532046319
VK055_0496	slyA	8.74019078959476	-7.010031719789231	-3.23616412232019	0.0233489769858	-2.1102298182125225	-7.024488219	-3.24283793	0.024701834	-2.114581658107257
VK055_0991	manA	35.8053942608134	-9.044578460183711	-5.908449248972219	4.35655640281987e-07	-2.7226894146516405	-9.059034977	-5.917893094	4.979999999999999e-07	-2.727041259846164
VK055_1194	trpD	36.7966796389686	-9.08405472654809	-5.91439234300328	4.333462124082721e-07	-2.7345729549441393	-9.098511242999999	-5.923804606	4.970000000000001e-07	-2.7389248000289736
VK055_1195	-	44.752539947294	-9.35877491803931	-6.27141249101487	7.092708588086539e-08	-2.8172719729975495	-7.5286890689999995	-5.48232342	4.53e-06	-2.2663612377965325
VK055_1196	trpB	57.94352648726029	-9.73910917778612	-6.730180396383999	6.41302074882026e-09	-2.931763993559995	-9.753565696	-6.740170527	6.36e-09	-2.936115839175236
VK055_1197	trpA	15.916589817182901	-7.875061379053769	-4.28679875183748	0.000847878537890499	-2.370629692790142	-7.889517887999999	-4.2946681689999995	0.000899576	-2.3749815356155417
VK055_1548	aroA	20.703334828335198	-8.254305495463719	-4.85106765468029	7.517805363903441e-05	-2.484793547508619	-8.268762008	-4.859563769	8.26e-05	-2.4891453914147323
VK055_1549	serC	24.2860488655823	-8.48446652607512	-5.15816483729383	1.82136382901638e-05	-2.554078921555587	-8.49892304	-5.166953732	1.95e-05	-2.55843076587971
VK055_1594	-	95.7473569970421	-3.58896345866374	-5.73393457209796	1.10406357255079e-06	-1.0803856543997326	-2.763615868	-4.516284918999999	0.00037117300000000003	-0.8319312727609496
VK055_1772	nadA	11.517781857116	-7.4082390804782	-3.73689589158029	0.00578799959456821	-2.2301021782740884	-7.422695586000001	-3.7441881039999996	0.005845458	-2.2344540200686325
VK055_1781	pal	12.277167409997402	-7.500304709241901	-3.8428227474789702	0.00425491176846337	-2.257816694101627	-7.514761215	-3.850229619	0.0042801770000000005	-2.2621685359673043
VK055_1782	tolB	101.861074940475	-10.552909794881199	-7.66220224222439	1.9021945730100803e-11	-3.176742389795472	-10.56736631	-7.672698757	1.49e-11	-3.181094234479001
VK055_1783	tolA	39.56175773234529	-9.18845798643128	-6.06261806358351	2.0007250912084e-07	-2.7660014678140814	-9.202914502999999	-6.0721565889999995	2.16e-07	-2.770353312934079
VK055_1785	tolQ	23.642704823519697	-8.44573927600314	-5.081413147720889	2.6434153761151602e-05	-2.542420857634341	-8.46019579	-5.090110967	2.7300000000000003e-05	-2.546772701980132
VK055_1802	gltA	38.2427340670125	-4.87601616521122	-4.4464213860553	0.00044874363930517996	-1.4678271250710357	-8.138959642	-5.268702621	1.27e-05	-2.450070985740578
VK055_1995	-	101.921890179487	-2.33082543238298	-3.9262615028127796	0.00323575197322005	-0.7016483698037456	-2.697883843	-4.513556287	0.00037117300000000003	-0.812143961560215
VK055_2153	clpX	84.5036317631688	-4.12191085388487	-4.81450138694029	8.80086525561863e-05	-1.2408188064722796	-2.46134433	-2.966887196	0.048665134000000006	-0.7409384729874647
VK055_2215	phoR	37.3152561689611	-7.245762252797579	-5.274906102368389	1.0842090879661e-05	-2.181191779541894	-8.143442715	-5.45963943	5.03e-06	-2.4514205251863297
VK055_2418	-	28.877442593618497	-3.49989039478894	-2.97221806934195	0.0439538002520987	-1.053571990367724	-3.9176794760000004	-3.2823613839999997	0.022329241	-1.1793390356731481
VK055_2460	nadC	70.59859077112591	-4.29394256243752	-3.6217826185762103	0.00790915756722848	-1.292605510951951	-4.563291421000001	-3.827844895	0.004632536	-1.3736875966771127
VK055_2493	leuA	108.98977870241998	-9.6717766143464	-6.509380284956441	1.9634130182140602e-08	-2.911494872279692	-6.640389148	-6.464678807	2.81e-08	-1.9989563164295876
VK055_2494	leuB	143.313166620978	-7.81685007981712	-7.36277587845011	1.2497648867297402e-10	-2.3531063456333388	-6.901118971	-7.141417516000001	4.11e-10	-2.0774438139167484
VK055_2496	leuD	36.6155964094518	-6.210628248669269	-4.90664112764181	6.220954238606949e-05	-1.8695853947675092	-9.072083188999999	-5.777698932000001	1.02e-06	-2.7309691630479462
VK055_2507	thiP	81.30831647266929	-2.49483633301338	-3.30517551090028	0.019856852180249	-0.7510205705093604	-2.489743236	-3.298916665	0.021710973999999997	-0.7494873955375064
VK055_2509	thiQ	29.252034155037	-3.41365570471256	-3.04824404650964	0.037141528872787995	-1.0276127619879467	-6.846979612999999	-4.568215486000001	0.00029947299999999997	-2.0611462432127574
VK055_2533	carB	111.61017739130101	-6.20346584570786	-6.88828220340335	2.6120560969228598e-09	-1.8674292966350925	-5.19369295	-6.1121007039999995	1.8899999999999999e-07	-1.5634573662185498
VK055_2534	carA	46.5544060644927	-6.21891009543053	-5.668386427398889	1.57918552086818e-06	-1.8720784790621414	-6.2542743960000005	-5.686550753	1.69e-06	-1.8827241943092288
VK055_2570	thrC	105.967411961446	-3.57624010269526	-5.520731654278049	3.21261950602038e-06	-1.0765555426077098	-2.725307007	-4.289312444	0.000901227	-0.8203991565002277
VK055_2571	thrB	150.75445394834	-2.57372033618848	-4.51380528682653	0.000335541388505935	-0.7747670216431183	-2.273614889	-4.003814122	0.002542763	-0.6844262801772332
VK055_2588	serB	35.0288215638463	-9.01292561142533	-5.867078653956031	5.27559511101076e-07	-2.7131609577271525	-9.027382128	-5.876489307000001	5.979999999999999e-07	-2.7175128028489413
VK055_2641	dgoK2	66.0316551859311	-2.7604216429469104	-3.29191912029044	0.0202950100000522	-0.8309697152070683	-4.6607026639999996	-5.251916077	1.36e-05	-1.4030113027350255
VK055_2683	-	47.0457676097518	-2.53958093689072	-3.2437690812576903	0.0228402190729183	-0.7644900384205428	-2.586985837	-3.301025873	0.021710973999999997	-0.7787603352948907
