Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC	ket/xyl_E1004_01	ket/xyl_E1004_03	ket/xyl_E1004_04	propofol_E1004_05	propofol_E1004_06	propofol_E1004_08	input_E1004_13	input_E1004_14	input_E1004_15
VK055_0001	-	0.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VK055_0002	-	0.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VK055_0003	-	0.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VK055_0004	-	0.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VK055_0005	-	0.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VK055_0006	-	0.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VK055_0007	-	0.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VK055_0008	-	0.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VK055_0009	-	0.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VK055_0010	-	0.0									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VK055_0011	-	86.8886523261551	0.0343672023673687	0.058034114982226	0.977916850988206	0.010345558779632176	-1.067060812	-1.7812264119999999	0.330332958	-0.32121731160956424	58.29065048	119.2889554	114.93011899999999	39.76611513	40.3712686	59.29032736	164.2187103	119.4645337	98.58549359999999
VK055_0012	-	46.9543078151075	0.924171467529361	0.8820432333918341	0.675223326641928	0.2782033328631387	1.161582335	1.1097791609999998	0.601471675	0.34967112526840716	0.0	82.30545526	53.51513302	10.51952464	144.4247205	18.24317765	50.48544292	26.15538344	24.10350174
VK055_0013	ompC	543.748395589859	2.36370858885264	4.103941939171331	0.00169088337353789	0.7115471862532253	1.56279344	2.710861013	0.078559846	0.4704477024668983	684.7919939	430.85287189999997	1083.8938050000002	129.47107250000002	727.3446589	495.46153899999996	194.8202218	148.2138395	160.8347774
VK055_0014	-	78.37401339960529	0.44201358508988997	0.659692359764884	0.7582572898005201	0.13305934760303037	-1.4563100340000001	-2.13174635	0.20998217100000002	-0.43839300322043234	49.01340611	80.14726692	192.73942350000002	26.70340871	27.79661117	25.48253386	110.4897892	103.90099980000001	101.0465118
VK055_0015	-	35.1696835130169	-1.6763749617986101	-1.5669772846390502	0.382651117752742	-0.5046391474814422	-0.12906173199999998	-0.122476719	0.969174037	-0.0388514526243459	0.0	15.59781572	26.41778789	15.83708655	35.88557209	77.53350501	62.54272049	53.96799503	56.53103561
VK055_0016	dcm	283.711411655276	2.176096586015	3.24674056418711	0.0227734149281457	0.6550703458524997	1.933035684	2.883013355	0.056406684000000006	0.581901723572841	120.9325749	467.1496758	547.6381945	71.09349071	392.38814069999995	515.3697686	132.5595429	97.48824737	102.78370109999999
VK055_0018	-	35.23873636411471	-0.21897250452428896	-0.22369963010383498	0.9252805309003269	-0.06591729208747782	0.70869363	0.729352952	0.7598181009999999	0.21333804036599108	13.21802074	12.94913003	46.54967126	0.0	86.99309791	50.67549347	42.58827866	32.92840284	34.96093496
VK055_0017	-	161.726186271872	0.8963776723351491	1.27114779583379	0.502015096342307	0.2698365668163395	0.5625899910000001	0.7970463109999999	0.728240542	0.16935646255132925	43.26644057	339.81656380000004	178.1289428	34.33295405	196.0469983	190.1778876	135.2389379	116.9426648	109.0810124
VK055_0019	yedI	82.3660334985475	0.420499633202472	0.598364282014459	0.785704624277803	0.12658300275964582	1.980128673	2.845649208	0.059624975	0.5960781258473149	31.44411146	78.18527753	35.84664466	206.34452180000002	85.52237774	109.96582079999999	57.67750322	37.61187371	50.37849012
VK055_0020	-	323.848426634053	1.57706941862928	3.1802146279367296	0.0271084998307814	0.4747452002517695	0.9692407759999999	1.951263714	0.27082619199999997	0.2917705465966337	341.3697531	313.8202043	673.4412295	242.87386009999997	286.1286086	359.8683972	238.2546252	169.2534317	190.801293
VK055_0021	-	82.2803063735727	0.37537035330781604	0.45302660617476204	0.8409326236086899	0.11299773582863895	1.7519839430000002	2.127425212	0.211039434	0.5273997187646547	47.12511743	81.5206595	26.67262185	21.84824349	285.39324849999997	114.8885831	56.33780571	56.41781056	48.93083236
VK055_0022	-	19.7817493004901	0.897139738962358	0.696956758970407	0.746864729435147	0.27006597172982383	0.21300722100000002	0.164645429	0.961029288	0.06412156281402667	44.33373417	0.0	28.54140428	6.011156937999999	14.11891361	30.62247677	23.26843039	16.78844171	15.48993805
VK055_0023	rcsA	43.2795917821515	0.7240679939610809	0.713842658827021	0.740559805999293	0.21796618508253174	1.8483793730000002	1.833119795	0.315053902	0.5564176346395823	23.398359699999997	65.43234644	1.698893112	20.80785094	160.45557030000003	26.64083085	28.90926201	21.03959219	23.30728997
VK055_0024	-	87.62688137942341	2.1116711286220697	2.88927896866326	0.051520641370299	0.635676350692856	1.288875425	1.7569173219999998	0.33910065	0.3879901635991619	22.57736462	196.8856361	142.791966	60.57396607	59.63770279	97.80370239	50.55595331	36.60312614	37.85625048
VK055_0025	amyK38	393.53577798992006	1.96672427194058	2.75113865280782	0.0681086301019955	0.5920429990545194	1.94089777	2.714950758	0.077951833	0.5842684472873307	223.3927605	187.3699875	1030.123838	724.2288119	299.29155410000004	301.7363668	200.24952219999997	143.4583152	149.7601955
